harga,jumlah_kamar_tidur,jumlah_kamar_mandi,jumlah_garasi,luas_tanah,luas_bangunan
"Rp 1,79 Miliar",3.0,3.0,2.0,120 m²,110 m²
Rp 170 Juta,3.0,2.0,1.0,102 m²,126 m²
Rp 695 Juta,2.0,2.0,1.0,100 m²,100 m²
Rp 560 Juta,3.0,1.0,1.0,109 m²,67 m²
Rp 200 Juta,2.0,1.0,1.0,60 m²,30 m²
"Rp 1,47 Miliar",5.0,3.0,1.0,125 m²,157 m²
Rp 560 Juta,3.0,1.0,1.0,109 m²,67 m²
"Rp 2,1 Miliar",11.0,11.0,2.0,206 m²,290 m²
"Rp 1,6 Miliar",5.0,4.0,2.0,300 m²,200 m²
"Rp 2,4 Miliar",3.0,3.0,1.0,403 m²,220 m²
Rp 875 Juta,3.0,2.0,1.0,145 m²,85 m²
Rp 570 Juta,2.0,1.0,1.0,83 m²,50 m²
Rp 300 Juta,2.0,1.0,1.0,60 m²,30 m²
Rp 750 Juta,4.0,2.0,1.0,140 m²,90 m²
"Rp 1,85 Miliar",4.0,4.0,2.0,166 m²,200 m²
Rp 745 Juta,3.0,1.0,3.0,209 m²,180 m²
"Rp 1,7 Miliar",4.0,3.0,2.0,169 m²,125 m²
"Rp 4,2 Miliar",4.0,3.0,2.0,480 m²,300 m²
Rp 455 Juta,2.0,1.0,1.0,61 m²,45 m²
"Rp 1,1 Miliar",4.0,3.0,2.0,171 m²,150 m²
Rp 850 Juta,3.0,2.0,1.0,135 m²,80 m²
"Rp 3,5 Miliar",7.0,7.0,2.0,349 m²,400 m²
"Rp 1,3 Miliar",3.0,2.0,1.0,134 m²,200 m²
"Rp 4,8 Miliar",13.0,15.0,4.0,235 m²,465 m²
"Rp 1,85 Miliar",4.0,3.0,2.0,135 m²,165 m²
"Rp 5,5 Miliar",3.0,2.0,0.0,275 m²,275 m²
"Rp 4,75 Miliar",5.0,6.0,2.0,267 m²,340 m²
Rp 2 Miliar,14.0,14.0,2.0,196 m²,230 m²
"Rp 1,4 Miliar",3.0,2.0,2.0,205 m²,150 m²
Rp 765 Juta,3.0,2.0,2.0,109 m²,80 m²
