harga,jumlah_kamar_tidur,jumlah_kamar_mandi,jumlah_garasi,luas_tanah,luas_bangunan
1790000000,3,3,2,120,110
170000000,3,2,1,102,126
695000000,2,2,1,100,100
560000000,3,1,1,109,67
200000000,2,1,1,60,30
1470000000,5,3,1,125,157
2100000000,11,11,2,206,290
1600000000,5,4,2,300,200
2400000000,3,3,1,403,220
875000000,3,2,1,145,85
570000000,2,1,1,83,50
300000000,2,1,1,60,30
750000000,4,2,1,140,90
1850000000,4,4,2,166,200
745000000,3,1,3,209,180
1700000000,4,3,2,169,125
4200000000,4,3,2,480,300
455000000,2,1,1,61,45
1100000000,4,3,2,171,150
850000000,3,2,1,135,80
3500000000,7,7,2,349,400
1300000000,3,2,1,134,200
4800000000,13,15,4,235,465
1850000000,4,3,2,135,165
5500000000,3,2,0,275,275
4750000000,5,6,2,267,340
2000000000,14,14,2,196,230
1400000000,3,2,2,205,150
765000000,3,2,2,109,80
2200000000,3,3,1,139,125
3100000000,5,3,0,146,290
9900000000,4,4,5,3400,550
7500000000,8,8,5,1000,350
2500000000,6,4,0,128,130
1950000000,3,3,1,128,188
10000000000,5,3,0,848,427
1080000000,3,2,2,147,85
969000000,3,3,2,102,100
25000000000,34,32,10,832,1500
5500000000,5,6,3,295,400
2100000000,3,3,1,139,100
3200000000,5,5,2,204,200
500000000,3,1,0,72,90
1300000000,3,2,2,156,85
900000000,3,2,2,111,70
3400000000,7,4,0,415,300
10000000000,9,5,8,1527,1000
15000000000,6,7,4,636,450
6500000000,11,11,5,500,750
2480000000,4,3,1,192,135
2450000000,4,3,1,187,135
2650000000,4,3,1,213,135
2430000000,4,3,1,192,135
2490000000,4,3,1,200,135
1200000000,3,2,2,100,88
1650000000,3,4,0,912,150
2250000000,10,10,2,100,160
900000000,4,2,0,120,84
2350000000,4,3,0,120,185
1450000000,3,3,1,150,95
450000000,2,1,2,97,45
845000000,2,2,2,60,65
1800000000,3,2,2,134,90
3500000000,4,5,1,288,400
299000000,2,1,1,60,30
1380000000,3,2,1,107,100
1200000000,4,5,1,128,250
750000000,7,2,1,60,120
750000000,2,1,2,166,36
1650000000,3,3,1,200,135
900000000,3,2,0,140,80
499000000,2,1,1,120,36
1600000000,4,3,2,118,140
1450000000,3,2,1,100,85
1500000000,4,3,2,204,100
1850000000,3,2,2,116,115
1600000000,4,4,2,126,130
2500000000,3,3,0,352,168
1670000000,4,2,2,162,120
4900000000,4,4,1,309,100
28000000000,6,3,3,998,1600
2360000000,4,3,1,182,135
2460000000,4,3,1,196,135
2400000000,4,3,1,187,136
1590000000,3,3,1,90,115
576000000,3,2,1,144,80
2540000000,4,3,1,200,135
300000000,1,1,0,52,95
3300000000,40,42,1,110,400
995000000,3,2,1,109,75
410000000,2,1,1,112,60
245000000,2,1,1,75,36
2400000000,4,3,1,403,220
1790000000,4,3,1,113,175
399000000,2,1,0,100,45
550000000,3,2,1,101,55
2400000000,3,2,1,121,140
410000000,2,1,1,80,42
2900000000,3,3,2,140,115
650000000,4,2,1,90,150
775000000,2,1,1,132,90
1000000000,6,6,2,131,115
999000000,3,3,1,103,100
7250000000,5,7,10,2770,700
1200000000,4,2,0,766,400
695000000,2,2,1,100,65
675000000,2,1,1,85,45
4250000000,3,3,6,425,150
725000000,3,2,2,114,71
815000000,2,2,1,75,50
455000000,2,1,1,83,45
1300000000,3,1,2,126,80
690000000,3,2,2,76,60
11000000000,4,3,0,340,280
575000000,3,2,1,98,115
4200000000,4,4,8,564,190
1850000000,3,2,1,126,115
580000000,3,2,0,90,65
3100000000,7,4,2,225,300
750000000,2,1,1,166,36
25000000000,9,9,3,429,1000
799000000,3,2,1,111,60
799000000,3,2,2,75,50
8900000000,7,6,8,1050,735
3990000000,13,11,10,235,475
950000000,4,4,1,90,62
800000000,3,2,1,101,60
4000000000,15,15,4,207,300
1700000000,10,10,3,100,200
392000000,2,1,1,80,36
1450000000,3,3,1,110,129
1300000000,10,6,3,236,180
4200000000,4,4,1,564,150
235000000,2,1,1,73,30
2400000000,10,10,3,175,280
1880000000,3,3,1,121,80
2660000000,3,3,2,153,160
320000000,2,1,1,94,36
1650000000,4,3,2,125,140
1990000000,3,3,1,172,100
1800000000,3,3,2,95,150
550000000,3,1,1,116,60
1700000000,3,4,1,151,120
