harga,jumlah_kamar_tidur,jumlah_kamar_mandi,jumlah_garasi,luas_tanah,luas_bangunan
1790000000,3.0,3.0,2.0,120 m²,110 m²
170000000,3.0,2.0,1.0,102 m²,126 m²
695000000,2.0,2.0,1.0,100 m²,100 m²
560000000,3.0,1.0,1.0,109 m²,67 m²
200000000,2.0,1.0,1.0,60 m²,30 m²
1470000000,5.0,3.0,1.0,125 m²,157 m²
560000000,3.0,1.0,1.0,109 m²,67 m²
2100000000,11.0,11.0,2.0,206 m²,290 m²
1600000000,5.0,4.0,2.0,300 m²,200 m²
2400000000,3.0,3.0,1.0,403 m²,220 m²
875000000,3.0,2.0,1.0,145 m²,85 m²
570000000,2.0,1.0,1.0,83 m²,50 m²
300000000,2.0,1.0,1.0,60 m²,30 m²
750000000,4.0,2.0,1.0,140 m²,90 m²
1850000000,4.0,4.0,2.0,166 m²,200 m²
745000000,3.0,1.0,3.0,209 m²,180 m²
1700000000,4.0,3.0,2.0,169 m²,125 m²
4200000000,4.0,3.0,2.0,480 m²,300 m²
455000000,2.0,1.0,1.0,61 m²,45 m²
1100000000,4.0,3.0,2.0,171 m²,150 m²
850000000,3.0,2.0,1.0,135 m²,80 m²
3500000000,7.0,7.0,2.0,349 m²,400 m²
1300000000,3.0,2.0,1.0,134 m²,200 m²
4800000000,13.0,15.0,4.0,235 m²,465 m²
1850000000,4.0,3.0,2.0,135 m²,165 m²
5500000000,3.0,2.0,0.0,275 m²,275 m²
4750000000,5.0,6.0,2.0,267 m²,340 m²
2000000000,14.0,14.0,2.0,196 m²,230 m²
1400000000,3.0,2.0,2.0,205 m²,150 m²
765000000,3.0,2.0,2.0,109 m²,80 m²
2200000000,3.0,3.0,1.0,139 m²,125 m²
3100000000,5.0,3.0,0.0,146 m²,290 m²
9900000000,4.0,4.0,5.0,3400 m²,550 m²
7500000000,8.0,8.0,5.0,1000 m²,350 m²
2500000000,6.0,4.0,0.0,128 m²,130 m²
1950000000,3.0,3.0,1.0,128 m²,188 m²
10000000000,5.0,3.0,0.0,848 m²,427 m²
1080000000,3.0,2.0,2.0,147 m²,85 m²
969000000,3.0,3.0,2.0,102 m²,100 m²
25000000000,34.0,32.0,10.0,832 m²,1500 m²
5500000000,5.0,6.0,3.0,295 m²,400 m²
2100000000,3.0,3.0,1.0,139 m²,100 m²
3200000000,5.0,5.0,2.0,204 m²,200 m²
2100000000,3.0,3.0,1.0,139 m²,100 m²
500000000,3.0,1.0,0.0,72 m²,90 m²
1300000000,3.0,2.0,2.0,156 m²,85 m²
900000000,3.0,2.0,2.0,111 m²,70 m²
3400000000,7.0,4.0,0.0,415 m²,300 m²
10000000000,9.0,5.0,8.0,1527 m²,1000 m²
15000000000,6.0,7.0,4.0,636 m²,450 m²
6500000000,11.0,11.0,5.0,500 m²,750 m²
2480000000,4.0,3.0,1.0,192 m²,135 m²
2450000000,4.0,3.0,1.0,187 m²,135 m²
2650000000,4.0,3.0,1.0,213 m²,135 m²
2430000000,4.0,3.0,1.0,192 m²,135 m²
2490000000,4.0,3.0,1.0,200 m²,135 m²
1200000000,3.0,2.0,2.0,100 m²,88 m²
1650000000,3.0,4.0,0.0,912 m²,150 m²
2250000000,10.0,10.0,2.0,100 m²,160 m²
900000000,4.0,2.0,0.0,120 m²,84 m²
2350000000,4.0,3.0,0.0,120 m²,185 m²
1450000000,3.0,3.0,1.0,150 m²,95 m²
450000000,2.0,1.0,2.0,97 m²,45 m²
845000000,2.0,2.0,2.0,60 m²,65 m²
1800000000,3.0,2.0,2.0,134 m²,90 m²
3500000000,4.0,5.0,1.0,288 m²,400 m²
299000000,2.0,1.0,1.0,60 m²,30 m²
1380000000,3.0,2.0,1.0,107 m²,100 m²
1200000000,4.0,5.0,1.0,128 m²,250 m²
750000000,7.0,2.0,1.0,60 m²,120 m²
750000000,2.0,1.0,2.0,166 m²,36 m²
1650000000,3.0,3.0,1.0,200 m²,135 m²
900000000,3.0,2.0,0.0,140 m²,80 m²
499000000,2.0,1.0,1.0,120 m²,36 m²
1600000000,4.0,3.0,2.0,118 m²,140 m²
1450000000,3.0,2.0,1.0,100 m²,85 m²
1500000000,4.0,3.0,2.0,204 m²,100 m²
1850000000,3.0,2.0,2.0,116 m²,115 m²
1600000000,4.0,4.0,2.0,126 m²,130 m²
2500000000,3.0,3.0,0.0,352 m²,168 m²
2500000000,3.0,3.0,0.0,352 m²,168 m²
1670000000,4.0,2.0,2.0,162 m²,120 m²
4900000000,4.0,4.0,1.0,309 m²,100 m²
28000000000,6.0,3.0,3.0,998 m²,1600 m²
2360000000,4.0,3.0,1.0,182 m²,135 m²
2460000000,4.0,3.0,1.0,196 m²,135 m²
2430000000,4.0,3.0,1.0,192 m²,135 m²
2400000000,4.0,3.0,1.0,187 m²,136 m²
1590000000,3.0,3.0,1.0,90 m²,115 m²
576000000,3.0,2.0,1.0,144 m²,80 m²
2540000000,4.0,3.0,1.0,200 m²,135 m²
300000000,1.0,1.0,0.0,52 m²,95 m²
3300000000,40.0,42.0,1.0,110 m²,400 m²
995000000,3.0,2.0,1.0,109 m²,75 m²
410000000,2.0,1.0,1.0,112 m²,60 m²
245000000,2.0,1.0,1.0,75 m²,36 m²
2400000000,4.0,3.0,1.0,403 m²,220 m²
1790000000,4.0,3.0,1.0,113 m²,175 m²
399000000,2.0,1.0,0.0,100 m²,45 m²
550000000,3.0,2.0,1.0,101 m²,55 m²
2400000000,3.0,2.0,1.0,121 m²,140 m²
410000000,2.0,1.0,1.0,80 m²,42 m²
2900000000,3.0,3.0,2.0,140 m²,115 m²
650000000,4.0,2.0,1.0,90 m²,150 m²
775000000,2.0,1.0,1.0,132 m²,90 m²
1000000000,6.0,6.0,2.0,131 m²,115 m²
999000000,3.0,3.0,1.0,103 m²,100 m²
7250000000,5.0,7.0,10.0,2770 m²,700 m²
1200000000,4.0,2.0,0.0,766 m²,400 m²
695000000,2.0,2.0,1.0,100 m²,65 m²
675000000,2.0,1.0,1.0,85 m²,45 m²
4250000000,3.0,3.0,6.0,425 m²,150 m²
725000000,3.0,2.0,2.0,114 m²,71 m²
815000000,2.0,2.0,1.0,75 m²,50 m²
455000000,2.0,1.0,1.0,83 m²,45 m²
1300000000,3.0,1.0,2.0,126 m²,80 m²
690000000,3.0,2.0,2.0,76 m²,60 m²
11000000000,4.0,3.0,0.0,340 m²,280 m²
2430000000,4.0,3.0,1.0,192 m²,135 m²
575000000,3.0,2.0,1.0,98 m²,115 m²
4200000000,4.0,4.0,8.0,564 m²,190 m²
1850000000,3.0,2.0,1.0,126 m²,115 m²
580000000,3.0,2.0,0.0,90 m²,65 m²
4250000000,3.0,3.0,6.0,425 m²,150 m²
3100000000,7.0,4.0,2.0,225 m²,300 m²
750000000,2.0,1.0,1.0,166 m²,36 m²
25000000000,9.0,9.0,3.0,429 m²,1000 m²
799000000,3.0,2.0,1.0,111 m²,60 m²
799000000,3.0,2.0,2.0,75 m²,50 m²
8900000000,7.0,6.0,8.0,1050 m²,735 m²
3990000000,13.0,11.0,10.0,235 m²,475 m²
950000000,4.0,4.0,1.0,90 m²,62 m²
800000000,3.0,2.0,1.0,101 m²,60 m²
4000000000,15.0,15.0,4.0,207 m²,300 m²
1700000000,10.0,10.0,3.0,100 m²,200 m²
392000000,2.0,1.0,1.0,80 m²,36 m²
1450000000,3.0,3.0,1.0,110 m²,129 m²
1300000000,10.0,6.0,3.0,236 m²,180 m²
4200000000,4.0,4.0,1.0,564 m²,150 m²
235000000,2.0,1.0,1.0,73 m²,30 m²
2400000000,10.0,10.0,3.0,175 m²,280 m²
1880000000,3.0,3.0,1.0,121 m²,80 m²
2660000000,3.0,3.0,2.0,153 m²,160 m²
320000000,2.0,1.0,1.0,94 m²,36 m²
1650000000,4.0,3.0,2.0,125 m²,140 m²
1990000000,3.0,3.0,1.0,172 m²,100 m²
1800000000,3.0,3.0,2.0,95 m²,150 m²
550000000,3.0,1.0,1.0,116 m²,60 m²
1700000000,3.0,4.0,1.0,151 m²,120 m²
1100000000,3.0,2.0,1.0,138 m²,100 m²
2200000000,5.0,4.0,2.0,114 m²,150 m²
750000000,3.0,2.0,2.0,130 m²,60 m²
237000000,2.0,1.0,1.0,60 m²,28 m²
750000000,3.0,2.0,2.0,130 m²,60 m²
1650000000,4.0,3.0,2.0,125 m²,140 m²
1520000000,4.0,2.0,1.0,99 m²,150 m²
350000000,2.0,1.0,1.0,104 m²,50 m²
850000000,3.0,2.0,1.0,114 m²,110 m²
2950000000,4.0,3.0,0.0,213 m²,185 m²
895000000,3.0,2.0,2.0,91 m²,76 m²
2500000000,3.0,3.0,0.0,352 m²,168 m²
1200000000,3.0,2.0,1.0,115 m²,100 m²
1270000000,3.0,2.0,1.0,130 m²,100 m²
675000000,2.0,1.0,1.0,85 m²,45 m²
817000000,2.0,2.0,1.0,103 m²,76 m²
4500000000,20.0,15.0,3.0,235 m²,370 m²
817000000,2.0,2.0,1.0,103 m²,76 m²
470000000,3.0,3.0,0.0,147 m²,70 m²
765000000,2.0,1.0,1.0,101 m²,60 m²
675000000,2.0,1.0,1.0,84 m²,50 m²
2200000000,4.0,4.0,2.0,150 m²,235 m²
725000000,3.0,2.0,1.0,100 m²,70 m²
800000000,3.0,2.0,1.0,120 m²,80 m²
884000000,4.0,2.0,2.0,104 m²,60 m²
3400000000,4.0,3.0,0.0,421 m²,200 m²
1250000000,2.0,2.0,2.0,125 m²,150 m²
500000000,2.0,2.0,1.0,80 m²,55 m²
500000000,3.0,2.0,1.0,108 m²,70 m²
3900000000,14.0,14.0,3.0,502 m²,473 m²
690000000,2.0,1.0,1.0,87 m²,45 m²
875000000,3.0,2.0,2.0,112 m²,95 m²
756000000,3.0,1.0,2.0,104 m²,60 m²
4500000000,5.0,2.0,7.0,503 m²,300 m²
1300000000,5.0,6.0,1.0,320 m²,142 m²
850000000,3.0,2.0,2.0,80 m²,85 m²
6500000000,9.0,6.0,0.0,2367 m²,1000 m²
1290000000,4.0,3.0,1.0,99 m²,105 m²
2700000000,3.0,2.0,2.0,267 m²,180 m²
