harga,jumlah_kamar_tidur,jumlah_kamar_mandi,jumlah_garasi,luas_tanah,luas_bangunan
1790000000,3,3,2,120 m²,110 m²
170000000,3,2,1,102 m²,126 m²
695000000,2,2,1,100 m²,100 m²
560000000,3,1,1,109 m²,67 m²
200000000,2,1,1,60 m²,30 m²
1470000000,5,3,1,125 m²,157 m²
560000000,3,1,1,109 m²,67 m²
2100000000,11,11,2,206 m²,290 m²
1600000000,5,4,2,300 m²,200 m²
2400000000,3,3,1,403 m²,220 m²
875000000,3,2,1,145 m²,85 m²
570000000,2,1,1,83 m²,50 m²
300000000,2,1,1,60 m²,30 m²
750000000,4,2,1,140 m²,90 m²
1850000000,4,4,2,166 m²,200 m²
745000000,3,1,3,209 m²,180 m²
1700000000,4,3,2,169 m²,125 m²
4200000000,4,3,2,480 m²,300 m²
455000000,2,1,1,61 m²,45 m²
1100000000,4,3,2,171 m²,150 m²
850000000,3,2,1,135 m²,80 m²
3500000000,7,7,2,349 m²,400 m²
1300000000,3,2,1,134 m²,200 m²
4800000000,13,15,4,235 m²,465 m²
1850000000,4,3,2,135 m²,165 m²
5500000000,3,2,0,275 m²,275 m²
4750000000,5,6,2,267 m²,340 m²
2000000000,14,14,2,196 m²,230 m²
1400000000,3,2,2,205 m²,150 m²
765000000,3,2,2,109 m²,80 m²
2200000000,3,3,1,139 m²,125 m²
3100000000,5,3,0,146 m²,290 m²
9900000000,4,4,5,3400 m²,550 m²
7500000000,8,8,5,1000 m²,350 m²
2500000000,6,4,0,128 m²,130 m²
1950000000,3,3,1,128 m²,188 m²
10000000000,5,3,0,848 m²,427 m²
1080000000,3,2,2,147 m²,85 m²
969000000,3,3,2,102 m²,100 m²
25000000000,34,32,10,832 m²,1500 m²
5500000000,5,6,3,295 m²,400 m²
2100000000,3,3,1,139 m²,100 m²
3200000000,5,5,2,204 m²,200 m²
2100000000,3,3,1,139 m²,100 m²
500000000,3,1,0,72 m²,90 m²
1300000000,3,2,2,156 m²,85 m²
900000000,3,2,2,111 m²,70 m²
3400000000,7,4,0,415 m²,300 m²
10000000000,9,5,8,1527 m²,1000 m²
15000000000,6,7,4,636 m²,450 m²
6500000000,11,11,5,500 m²,750 m²
2480000000,4,3,1,192 m²,135 m²
2450000000,4,3,1,187 m²,135 m²
2650000000,4,3,1,213 m²,135 m²
2430000000,4,3,1,192 m²,135 m²
2490000000,4,3,1,200 m²,135 m²
1200000000,3,2,2,100 m²,88 m²
1650000000,3,4,0,912 m²,150 m²
2250000000,10,10,2,100 m²,160 m²
900000000,4,2,0,120 m²,84 m²
2350000000,4,3,0,120 m²,185 m²
1450000000,3,3,1,150 m²,95 m²
450000000,2,1,2,97 m²,45 m²
845000000,2,2,2,60 m²,65 m²
1800000000,3,2,2,134 m²,90 m²
3500000000,4,5,1,288 m²,400 m²
299000000,2,1,1,60 m²,30 m²
1380000000,3,2,1,107 m²,100 m²
1200000000,4,5,1,128 m²,250 m²
750000000,7,2,1,60 m²,120 m²
